city,hour,max_value,count
Bukhiin urguu,2016-01-30T16:00:00Z,1400.0,4
Punjabi Bagh, Delhi - DPCC,2016-02-08T03:00:00Z,1400.0,3
Punjabi Bagh, Delhi - DPCC,2016-02-08T12:00:00Z,1400.0,3
Punjabi Bagh, Delhi - DPCC,2016-02-07T06:00:00Z,1400.0,2
Nisekh,2016-02-18T13:00:00Z,1373.0,2
Amgalan,2016-02-01T09:00:00Z,1370.0,2
Konarskiego,2016-02-01T16:00:00Z,1361.0,1
Konarskiego,2016-02-01T17:00:00Z,1340.0,1
Konarskiego,2016-02-01T15:00:00Z,1330.0,1
MNB,2016-02-04T11:00:00Z,1330.0,2
Nisekh,2016-02-19T15:00:00Z,1330.0,2
MNB,2016-02-03T09:00:00Z,1326.0,2
Baruun 4 zam,2016-01-30T12:00:00Z,1322.0,4
Nisekh,2016-02-19T20:00:00Z,1309.0,2
Bukhiin urguu,2016-01-30T01:00:00Z,1303.0,3
Amgalan,2016-02-02T03:00:00Z,1300.0,2
R K Puram, Delhi - DPCC,2016-02-07T09:00:00Z,1300.0,3
Punjabi Bagh, Delhi - DPCC,2016-02-06T11:00:00Z,1300.0,3
Punjabi Bagh, Delhi - DPCC,2016-02-06T20:00:00Z,1300.0,3
Punjabi Bagh, Delhi - DPCC,2016-02-08T00:00:00Z,1300.0,3
Amgalan,2016-02-01T02:00:00Z,1298.0,2
Nisekh,2016-02-19T14:00:00Z,1292.0,2
Nisekh,2016-02-18T03:00:00Z,1291.0,2
Baruun 4 zam,2016-02-01T07:00:00Z,1291.0,4
MNB,2016-02-03T22:00:00Z,1283.0,2
Baruun 4 zam,2016-02-01T22:00:00Z,1269.0,4
Amgalan,2016-01-31T04:00:00Z,1249.0,2
MNB,2016-02-03T20:00:00Z,1248.0,2
Amgalan,2016-01-31T07:00:00Z,1248.0,2
Amgalan,2016-02-02T04:00:00Z,1247.0,2
Nisekh,2016-02-20T04:00:00Z,1245.0,2
Amgalan,2016-01-31T05:00:00Z,1243.0,2
Amgalan,2016-02-02T05:00:00Z,1238.0,2
MNB,2016-02-02T07:00:00Z,1235.0,2
Bukhiin urguu,2016-02-01T16:00:00Z,1225.0,1
Amgalan,2016-02-01T03:00:00Z,1214.0,2
MNB,2016-02-04T10:00:00Z,1211.0,2
100 ail,2016-01-30T08:00:00Z,1208.0,4
Punjabi Bagh, Delhi - DPCC,2016-02-06T18:00:00Z,1200.0,2
Punjabi Bagh, Delhi - DPCC,2016-02-07T23:00:00Z,1200.0,3
R K Puram, Delhi - DPCC,2016-02-07T11:00:00Z,1200.0,3
Punjabi Bagh, Delhi - DPCC,2016-02-06T10:00:00Z,1200.0,3
Punjabi Bagh, Delhi - DPCC,2016-02-07T11:00:00Z,1200.0,3
Nisekh,2016-02-18T21:00:00Z,1194.0,2
Konarskiego,2016-02-06T17:00:00Z,1192.0,1
Konarskiego,2016-02-01T18:00:00Z,1190.0,1
Bukhiin urguu,2016-02-01T10:00:00Z,1188.0,4
Amgalan,2016-01-30T03:00:00Z,1180.0,2
MNB,2016-02-03T06:00:00Z,1169.0,2
Konarskiego,2016-02-06T15:00:00Z,1168.0,1
Konarskiego,2016-02-06T14:00:00Z,1164.0,1
Konarskiego,2016-02-06T16:00:00Z,1164.0,1
Baruun 4 zam,2016-01-30T10:00:00Z,1163.0,4
Nisekh,2016-02-17T13:00:00Z,1158.0,2
Amgalan,2016-02-01T08:00:00Z,1155.0,2
Konarskiego,2016-02-06T18:00:00Z,1155.0,1
MNB,2016-02-01T07:00:00Z,1151.0,2
Amgalan,2016-02-01T04:00:00Z,1149.0,2
Konarskiego,2016-02-06T19:00:00Z,1146.0,1
MNB,2016-02-01T06:00:00Z,1146.0,2
Nisekh,2016-02-19T12:00:00Z,1130.0,2
Konarskiego,2016-02-06T13:00:00Z,1121.0,1
Amgalan,2016-01-31T06:00:00Z,1113.0,2
Nisekh,2016-02-16T10:00:00Z,1110.0,2
